2026-06-02 00:06:13,145 [axes.apps] INFO: AXES: BEGIN version 8.3.1, blocking by ip_address
2026-06-02 00:06:13,250 [apscheduler.scheduler] INFO: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-02 00:06:13,250 [apscheduler.scheduler] INFO: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Added job "update_classroom_status" to job store "default"
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Added job "sync_offline_cache" to job store "default"
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Added job "check_attendance_compliance" to job store "default"
2026-06-02 00:06:13,251 [apscheduler.scheduler] INFO: Scheduler started
2026-06-02 00:06:13,715 [daphne.cli] INFO: Starting server at tcp:port=9000:interface=0.0.0.0
2026-06-02 00:06:13,715 [daphne.server] INFO: HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2026-06-02 00:06:13,716 [daphne.server] INFO: Configuring endpoint tcp:port=9000:interface=0.0.0.0
2026-06-02 00:06:13,716 [daphne.server] INFO: Listening on TCP address 0.0.0.0:9000
127.0.0.1:60893 - - [02/Jun/2026:00:06:44] "GET /api/v1/health" 200 92
2026-06-02 00:06:45,267 [axes.handlers.database] INFO: AXES: User login failed, running database handler for failure.
2026-06-02 00:06:45,268 [axes.handlers.database] INFO: AXES: Cleaned up 0 expired access attempts from database that were older than 2026-06-01 23:51:44.314438
2026-06-02 00:06:45,270 [axes.handlers.database] WARNING: AXES: New login failure by {username: "********************", ip_address: "********************", user_agent: "Python-urllib/3.13", path_info: "/api/v1/auth/login"}. Created new record in the database.
Unauthorized: /api/v1/auth/login
2026-06-02 00:06:45,280 [django.request] WARNING: Unauthorized: /api/v1/auth/login
Unauthorized: /api/v1/dashboard
127.0.0.1:58697 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58718 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58693 - - [02/Jun/2026:00:06:48] "GET /api/v1/students" 200 11685
127.0.0.1:58725 - - [02/Jun/2026:00:06:48] "GET /api/v1/teachers" 200 4503
127.0.0.1:58726 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58717 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58730 - - [02/Jun/2026:00:06:48] "GET /api/v1/teachers" 200 4503
127.0.0.1:58716 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58723 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58712 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58735 - - [02/Jun/2026:00:06:48] "GET /api/v1/teachers" 200 4503
127.0.0.1:58728 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58699 - - [02/Jun/2026:00:06:48] "GET /api/v1/students" 200 11685
127.0.0.1:58740 - - [02/Jun/2026:00:06:48] "GET /api/v1/teachers" 200 4503
127.0.0.1:58750 - - [02/Jun/2026:00:06:48] "GET /api/v1/teachers" 200 4503
127.0.0.1:58721 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58722 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58736 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58733 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58732 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58741 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58746 - - [02/Jun/2026:00:06:48] "GET /api/v1/teachers" 200 4503
127.0.0.1:58755 - - [02/Jun/2026:00:06:48] "GET /api/v1/teachers" 200 4503
127.0.0.1:58743 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58760 - - [02/Jun/2026:00:06:48] "GET /api/v1/teachers" 200 4503
127.0.0.1:58731 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58714 - - [02/Jun/2026:00:06:48] "GET /api/v1/students" 200 11685
127.0.0.1:58738 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58748 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58709 - - [02/Jun/2026:00:06:48] "GET /api/v1/students" 200 11685
127.0.0.1:58704 - - [02/Jun/2026:00:06:48] "GET /api/v1/students" 200 11685
127.0.0.1:58753 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58737 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58751 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58756 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58758 - - [02/Jun/2026:00:06:48] "GET /api/v1/courses" 200 5606
127.0.0.1:58745 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58761 - - [02/Jun/2026:00:06:48] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58742 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58727 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58762 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58724 - - [02/Jun/2026:00:06:48] "GET /api/v1/students" 200 11685
127.0.0.1:58752 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58719 - - [02/Jun/2026:00:06:48] "GET /api/v1/students" 200 11685
127.0.0.1:58747 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58757 - - [02/Jun/2026:00:06:48] "GET /api/v1/dashboard" 200 176
127.0.0.1:58729 - - [02/Jun/2026:00:06:48] "GET /api/v1/students" 200 11685
127.0.0.1:58744 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58749 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58739 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58765 - - [02/Jun/2026:00:06:49] "GET /api/v1/teachers" 200 4503
127.0.0.1:58734 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58759 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58763 - - [02/Jun/2026:00:06:49] "GET /api/v1/courses" 200 5606
127.0.0.1:58754 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58766 - - [02/Jun/2026:00:06:49] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58770 - - [02/Jun/2026:00:06:49] "GET /api/v1/teachers" 200 4503
127.0.0.1:58780 - - [02/Jun/2026:00:06:49] "GET /api/v1/teachers" 200 4503
127.0.0.1:58775 - - [02/Jun/2026:00:06:49] "GET /api/v1/teachers" 200 4503
127.0.0.1:58785 - - [02/Jun/2026:00:06:49] "GET /api/v1/teachers" 200 4503
127.0.0.1:58768 - - [02/Jun/2026:00:06:49] "GET /api/v1/courses" 200 5606
127.0.0.1:58773 - - [02/Jun/2026:00:06:49] "GET /api/v1/courses" 200 5606
127.0.0.1:58767 - - [02/Jun/2026:00:06:49] "GET /api/v1/dashboard" 200 176
127.0.0.1:58776 - - [02/Jun/2026:00:06:49] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58764 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58771 - - [02/Jun/2026:00:06:49] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58782 - - [02/Jun/2026:00:06:49] "GET /api/v1/dashboard" 200 176
127.0.0.1:58783 - - [02/Jun/2026:00:06:49] "GET /api/v1/courses" 200 5606
127.0.0.1:58781 - - [02/Jun/2026:00:06:49] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58788 - - [02/Jun/2026:00:06:49] "GET /api/v1/courses" 200 5606
127.0.0.1:58778 - - [02/Jun/2026:00:06:49] "GET /api/v1/courses" 200 5606
127.0.0.1:58772 - - [02/Jun/2026:00:06:49] "GET /api/v1/dashboard" 200 176
127.0.0.1:58790 - - [02/Jun/2026:00:06:49] "GET /api/v1/teachers" 200 4503
127.0.0.1:58777 - - [02/Jun/2026:00:06:49] "GET /api/v1/dashboard" 200 176
127.0.0.1:58769 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58774 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58786 - - [02/Jun/2026:00:06:49] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58791 - - [02/Jun/2026:00:06:49] "GET /api/v1/reports/summary" 200 314
127.0.0.1:58787 - - [02/Jun/2026:00:06:49] "GET /api/v1/dashboard" 200 176
127.0.0.1:58779 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58784 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
127.0.0.1:58789 - - [02/Jun/2026:00:06:49] "GET /api/v1/students" 200 11685
2026-06-02 00:07:13,256 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:07:13 CAT)" (scheduled at 2026-06-02 00:07:13.250496+02:00)
2026-06-02 00:07:13,258 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:08:13 CAT)" executed successfully
2026-06-02 00:08:13,262 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:09:13 CAT)" (scheduled at 2026-06-02 00:08:13.250496+02:00)
2026-06-02 00:08:13,263 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:08:13 CAT)" (scheduled at 2026-06-02 00:08:13.250749+02:00)
2026-06-02 00:08:13,264 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:10:13 CAT)" executed successfully
2026-06-02 00:08:13,265 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:09:13 CAT)" executed successfully
2026-06-02 00:09:13,255 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:10:13 CAT)" (scheduled at 2026-06-02 00:09:13.250496+02:00)
2026-06-02 00:09:13,258 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:10:13 CAT)" executed successfully
2026-06-02 00:10:13,259 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:11:13 CAT)" (scheduled at 2026-06-02 00:10:13.250496+02:00)
2026-06-02 00:10:13,260 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:12:13 CAT)" (scheduled at 2026-06-02 00:10:13.250749+02:00)
2026-06-02 00:10:13,261 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:12:13 CAT)" executed successfully
2026-06-02 00:10:13,262 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:11:13 CAT)" executed successfully
2026-06-02 00:11:13,256 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:12:13 CAT)" (scheduled at 2026-06-02 00:11:13.250496+02:00)
2026-06-02 00:11:13,259 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:12:13 CAT)" executed successfully
2026-06-02 00:12:13,255 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:13:13 CAT)" (scheduled at 2026-06-02 00:12:13.250496+02:00)
2026-06-02 00:12:13,255 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:14:13 CAT)" (scheduled at 2026-06-02 00:12:13.250749+02:00)
2026-06-02 00:12:13,257 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:14:13 CAT)" executed successfully
2026-06-02 00:12:13,258 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:13:13 CAT)" executed successfully
2026-06-02 00:13:13,262 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:14:13 CAT)" (scheduled at 2026-06-02 00:13:13.250496+02:00)
2026-06-02 00:13:13,264 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:14:13 CAT)" executed successfully
2026-06-02 00:14:13,259 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:15:13 CAT)" (scheduled at 2026-06-02 00:14:13.250496+02:00)
2026-06-02 00:14:13,260 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:16:13 CAT)" (scheduled at 2026-06-02 00:14:13.250749+02:00)
2026-06-02 00:14:13,265 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:16:13 CAT)" executed successfully
2026-06-02 00:14:13,269 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:15:13 CAT)" executed successfully
2026-06-02 00:15:13,252 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:16:13 CAT)" (scheduled at 2026-06-02 00:15:13.250496+02:00)
2026-06-02 00:15:13,256 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:16:13 CAT)" executed successfully
2026-06-02 00:16:13,260 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:18:13 CAT)" (scheduled at 2026-06-02 00:16:13.250749+02:00)
2026-06-02 00:16:13,260 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:17:13 CAT)" (scheduled at 2026-06-02 00:16:13.250496+02:00)
2026-06-02 00:16:13,262 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:18:13 CAT)" executed successfully
2026-06-02 00:16:13,265 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:17:13 CAT)" executed successfully
2026-06-02 00:17:13,258 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:18:13 CAT)" (scheduled at 2026-06-02 00:17:13.250496+02:00)
2026-06-02 00:17:13,260 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:18:13 CAT)" executed successfully
2026-06-02 00:18:13,257 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:19:13 CAT)" (scheduled at 2026-06-02 00:18:13.250496+02:00)
2026-06-02 00:18:13,257 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:20:13 CAT)" (scheduled at 2026-06-02 00:18:13.250749+02:00)
2026-06-02 00:18:13,259 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:20:13 CAT)" executed successfully
2026-06-02 00:18:13,260 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:19:13 CAT)" executed successfully
2026-06-02 00:19:13,254 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:20:13 CAT)" (scheduled at 2026-06-02 00:19:13.250496+02:00)
2026-06-02 00:19:13,260 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:20:13 CAT)" executed successfully
2026-06-02 00:20:13,260 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:21:13 CAT)" (scheduled at 2026-06-02 00:20:13.250496+02:00)
2026-06-02 00:20:13,260 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:22:13 CAT)" (scheduled at 2026-06-02 00:20:13.250749+02:00)
2026-06-02 00:20:13,262 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:22:13 CAT)" executed successfully
2026-06-02 00:20:13,264 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:21:13 CAT)" executed successfully
2026-06-02 00:21:13,255 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:22:13 CAT)" (scheduled at 2026-06-02 00:21:13.250496+02:00)
2026-06-02 00:21:13,259 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:22:13 CAT)" executed successfully
2026-06-02 00:22:13,252 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:23:13 CAT)" (scheduled at 2026-06-02 00:22:13.250496+02:00)
2026-06-02 00:22:13,253 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:24:13 CAT)" (scheduled at 2026-06-02 00:22:13.250749+02:00)
2026-06-02 00:22:13,256 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:24:13 CAT)" executed successfully
2026-06-02 00:22:13,257 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:23:13 CAT)" executed successfully
2026-06-02 00:23:13,265 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:24:13 CAT)" (scheduled at 2026-06-02 00:23:13.250496+02:00)
2026-06-02 00:23:13,267 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:24:13 CAT)" executed successfully
2026-06-02 00:24:13,254 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:25:13 CAT)" (scheduled at 2026-06-02 00:24:13.250496+02:00)
2026-06-02 00:24:13,254 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:26:13 CAT)" (scheduled at 2026-06-02 00:24:13.250749+02:00)
2026-06-02 00:24:13,261 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:26:13 CAT)" executed successfully
2026-06-02 00:24:13,265 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:25:13 CAT)" executed successfully
2026-06-02 00:25:13,258 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:26:13 CAT)" (scheduled at 2026-06-02 00:25:13.250496+02:00)
2026-06-02 00:25:13,261 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:26:13 CAT)" executed successfully
2026-06-02 00:26:13,260 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:27:13 CAT)" (scheduled at 2026-06-02 00:26:13.250496+02:00)
2026-06-02 00:26:13,261 [apscheduler.executors.default] INFO: Running job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:28:13 CAT)" (scheduled at 2026-06-02 00:26:13.250749+02:00)
2026-06-02 00:26:13,263 [apscheduler.executors.default] INFO: Job "sync_offline_cache (trigger: interval[0:02:00], next run at: 2026-06-02 00:28:13 CAT)" executed successfully
2026-06-02 00:26:13,265 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:27:13 CAT)" executed successfully
2026-06-02 00:27:13,252 [apscheduler.executors.default] INFO: Running job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:28:13 CAT)" (scheduled at 2026-06-02 00:27:13.250496+02:00)
2026-06-02 00:27:13,254 [apscheduler.executors.default] INFO: Job "update_classroom_status (trigger: interval[0:01:00], next run at: 2026-06-02 00:28:13 CAT)" executed successfully
